#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1509 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:30.20 aq:22.01 tex:341038 mv:74235 misc:247 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:31.73 aq:24.56 tex:101849 mv:15075 misc:2844 imb:327 pmb:1461 smb:1812 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:31.73 aq:27.80 tex:23623 mv:10133 misc:2380 imb:36 pmb:883 smb:2681 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:31.73 aq:28.29 tex:16236 mv:6136 misc:1708 imb:13 pmb:565 smb:3022 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:31.73 aq:28.61 tex:11745 mv:5173 misc:1754 imb:5 pmb:558 smb:3037 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:31.72 aq:24.72 tex:105989 mv:17055 misc:2812 imb:470 pmb:1522 smb:1608 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:31.73 aq:29.23 tex:23029 mv:11368 misc:2379 imb:39 pmb:912 smb:2649 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:31.73 aq:30.34 tex:12665 mv:6062 misc:1729 imb:14 pmb:543 smb:3043 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:31.72 aq:30.72 tex:15847 mv:7750 misc:1931 imb:22 pmb:689 smb:2889 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:31.72 aq:25.17 tex:108895 mv:17259 misc:2846 imb:454 pmb:1593 smb:1553 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:31.72 aq:28.75 tex:26869 mv:12806 misc:2493 imb:71 pmb:1013 smb:2516 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:31.72 aq:30.91 tex:13400 mv:7508 misc:1852 imb:24 pmb:634 smb:2942 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:31.72 aq:31.75 tex:13045 mv:7255 misc:1780 imb:23 pmb:618 smb:2959 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:39.72 aq:34.61 tex:35518 mv:9896 misc:1810 imb:270 pmb:745 smb:2585 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:35.72 aq:33.26 tex:15089 mv:8919 misc:1920 imb:47 pmb:680 smb:2873 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:33.72 aq:34.83 tex:12348 mv:6103 misc:1557 imb:19 pmb:521 smb:3060 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:37.72 aq:39.55 tex:7125 mv:4699 misc:1368 imb:18 pmb:425 smb:3157 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:36.98 aq:31.08 tex:48864 mv:12436 misc:2284 imb:266 pmb:1145 smb:2189 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:38.35 aq:37.26 tex:4987 mv:5427 misc:1714 imb:15 pmb:514 smb:3071 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:39.04 aq:42.41 tex:3630 mv:3388 misc:1206 imb:13 pmb:339 smb:3248 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:37.66 aq:34.38 tex:2956 mv:2961 misc:1291 imb:10 pmb:310 smb:3280 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:34.80 aq:29.39 tex:67576 mv:12571 misc:2325 imb:267 pmb:1216 smb:2117 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:35.89 aq:34.24 tex:8194 mv:6559 misc:1799 imb:26 pmb:581 smb:2993 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:36.43 aq:35.83 tex:3284 mv:2652 misc:1176 imb:7 pmb:296 smb:3297 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:35.35 aq:38.69 tex:6210 mv:4083 misc:1323 imb:6 pmb:398 smb:3196 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:33.34 aq:27.76 tex:70027 mv:12052 misc:2369 imb:247 pmb:1239 smb:2114 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:34.07 aq:31.27 tex:13932 mv:7736 misc:1996 imb:36 pmb:655 smb:2909 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:34.44 aq:31.77 tex:6329 mv:4428 misc:1403 imb:6 pmb:436 smb:3158 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:33.70 aq:34.26 tex:9100 mv:4551 misc:1477 imb:10 pmb:448 smb:3142 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:32.39 aq:24.19 tex:94507 mv:17594 misc:2939 imb:675 pmb:1737 smb:1188 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:32.86 aq:27.82 tex:20562 mv:10350 misc:2840 imb:86 pmb:985 smb:2529 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:33.10 aq:27.83 tex:8439 mv:4546 misc:1879 imb:14 pmb:520 smb:3066 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:32.63 aq:30.01 tex:9638 mv:4741 misc:1733 imb:18 pmb:515 smb:3067 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:31.64 aq:23.92 tex:102573 mv:16539 misc:2840 imb:463 pmb:1623 smb:1514 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:32.02 aq:28.92 tex:23233 mv:9751 misc:2352 imb:44 pmb:853 smb:2703 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:32.20 aq:29.32 tex:12988 mv:6112 misc:1756 imb:19 pmb:552 smb:3029 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:31.83 aq:29.64 tex:13272 mv:5662 misc:1714 imb:18 pmb:520 smb:3062 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:30.99 aq:23.99 tex:114684 mv:16217 misc:2731 imb:497 pmb:1500 smb:1603 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:31.32 aq:27.69 tex:30842 mv:11599 misc:2455 imb:53 pmb:975 smb:2572 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:31.48 aq:29.25 tex:17736 mv:7568 misc:1880 imb:31 pmb:636 smb:2933 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:31.15 aq:30.91 tex:16192 mv:6781 misc:1931 imb:14 pmb:667 smb:2919 d:- ref:0 ;
